127.0.0.1 - - [21/Oct/2015:09:38:56 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:38:57 +0200] "GET /hello-mvc-ab7/WEB-INF/classes/ch/fhnw/webfr/Application.java HTTP/1.1" 404 307
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:40:14 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:40:19 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:40:20 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:40:22 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:36 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:38 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:39 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:40 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:43 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:47 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:48 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:52 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [21/Oct/2015:09:41:53 +0200] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
